value standard normalized
0 205 0.0205
10 364 0.0364
20 347 0.034699999999999995
30 505 0.0505
40 380 0.038
50 455 0.0455
60 435 0.0435
70 931 0.0931
80 567 0.0567
90 610 0.061
100 1040 0.104
110 2610 0.261
120 1154 0.1154
130 1422 0.14220000000000002
140 1085 0.1085
150 915 0.0915
160 916 0.0916
170 926 0.0926
180 994 0.09940000000000002
190 920 0.092
200 1007 0.10070000000000001
210 1094 0.1094
220 1329 0.13290000000000002
230 1889 0.1889
240 1781 0.1781
250 1802 0.1802
260 1893 0.1893
270 3433 0.3433
280 14945 1.4945
290 24239 2.4239
300 142643 14.264299999999999
310 782001 78.20009999999999
320 5163 0.5163
330 0 0.0
340 0 0.0
