value standard normalized
0 104 0.104
100 206 0.20600000000000002
200 322 0.322
300 416 0.416
400 599 0.599
500 663 0.6629999999999999
600 770 0.77
700 895 0.895
800 1010 1.01
900 1050 1.05
1000 1116 1.1159999999999999
1100 1290 1.29
1200 1308 1.308
1300 1366 1.366
1400 1447 1.447
1500 1561 1.5610000000000002
1600 1633 1.633
1700 1695 1.695
1800 1788 1.788
1900 1847 1.847
2000 1892 1.892
2100 1981 1.981
2200 2077 2.077
2300 2239 2.239
2400 2129 2.129
2500 2290 2.29
2600 2332 2.332
2700 2380 2.3800000000000003
2800 2340 2.34
2900 2499 2.4989999999999997
3000 2500 2.5
3100 2532 2.532
3200 2476 2.476
3300 2594 2.5940000000000003
3400 2518 2.5180000000000002
3500 2554 2.554
3600 2541 2.541
3700 2363 2.363
3800 2396 2.396
3900 2363 2.363
4000 2152 2.152
4100 2108 2.108
4200 2037 2.037
4300 1945 1.9449999999999998
4400 1795 1.7950000000000002
4500 1773 1.773
4600 1653 1.653
4700 1536 1.536
4800 1424 1.424
4900 1363 1.363
5000 1270 1.27
5100 1271 1.2710000000000001
5200 1116 1.1159999999999999
5300 1030 1.03
5400 958 0.958
5500 912 0.9119999999999999
5600 816 0.8160000000000001
5700 779 0.779
5800 685 0.685
5900 633 0.633
6000 591 0.5910000000000001
6100 557 0.557
6200 466 0.466
6300 456 0.45599999999999996
6400 390 0.38999999999999996
6500 334 0.334
6600 288 0.28800000000000003
6700 289 0.28900000000000003
6800 233 0.233
6900 169 0.169
7000 145 0.145
7100 106 0.106
7200 92 0.092
7300 87 0.087
7400 84 0.084
7500 64 0.064
7600 59 0.059000000000000004
7700 42 0.042
7800 41 0.041
7900 37 0.037
8000 23 0.023
8100 19 0.019
8200 18 0.018000000000000002
8300 11 0.011000000000000001
8400 12 0.012
8500 14 0.013999999999999999
8600 5 0.005
8700 8 0.008
8800 3 0.003
8900 7 0.006999999999999999
9000 4 0.004
9100 1 0.001
9200 2 0.002
9300 1 0.001
9400 0 0.0
9500 3 0.003
9600 0 0.0
9700 1 0.001
9800 0 0.0
9900 0 0.0
