repetition error_rate
1 23.369999999999997
2 16.432
3 12.304253914921702
4 9.486
5 7.41
6 5.894882102357952
7 4.864902701945962
8 4.092
9 3.455723542116631
10 2.9749999999999996
11 2.5244747552524474
12 2.255819534437245
13 1.9303262706356425
14 1.8059638807223857
15 1.559922003899805
16 1.68
17 1.308856025837158
18 1.3138948884089272
19 1.1873100303951367
20 1.27
21 1.112977740445191
22 1.0118785745710517
23 0.8969641214351426
24 0.9239260859131269
25 0.8999999999999999
26 0.8318170002599428
27 0.769438444924406
28 0.7978723404255319
29 0.6958538706871557
30 0.6898620275944811
31 0.6974581525108493
32 0.736
33 0.6268558231606731
34 0.645819170632223
35 0.6473058082575228
36 0.5219582433405328
37 0.4994450610432853
38 0.4939209726443769
39 0.50682261208577
40 0.6
41 0.389344262295082
42 0.503989920201596
43 0.4729148753224419
44 0.4179498460184778
45 0.49482681061628436
46 0.36798528058877644
47 0.4934210526315789
48 0.527831094049904
49 0.3674669279764821
50 0.42500000000000004
51 0.35696073431922487
52 0.4158004158004158
53 0.2649708532061473
54 0.3779697624190065
55 0.21990104452996154
56 0.2799552071668533
57 0.3133903133903134
58 0.2898550724637681
59 0.2949852507374631
60 0.23995200959808036
61 0.274390243902439
62 0.3409795412275264
63 0.2518891687657431
64 0.3198976327575176
65 0.22742040285899934
66 0.23087071240105542
67 0.26791694574681846
68 0.1699524133242692
69 0.1724137931034483
70 0.2099370188943317
71 0.14194464158977999
72 0.14398848092152627
73 0.10948905109489052
74 0.2958579881656805
75 0.22488755622188905
76 0.22796352583586624
77 0.11547344110854503
78 0.23382696804364772
79 0.1974723538704581
80 0.12000000000000001
81 0.20242914979757085
82 0.040983606557377046
83 0.2074688796680498
84 0.16792611251049538
85 0.08496176720475786
86 0.17196904557179707
87 0.043478260869565216
88 0.1759014951627089
89 0.13345195729537368
90 0.1798561151079137
91 0.09099181073703368
92 0.13799448022079117
93 0.23234200743494424
94 0.14097744360902253
95 0.14245014245014245
96 0.09596928982725528
97 0.1454898157129001
98 0.0979431929480901
99 0.1483679525222552
