timing hit miss
0 0.001 3.464
1 0.029 7.295
2 0.26 4.2
3 1.117 6.262
4 2.385 6.326
5 2.27 5.282
6 1.728 7.652
7 4.086 6.343
8 4.353 6.343
9 2.403 7.756
10 4.473 5.364
11 5.859 5.612
12 3.842 5.622
13 4.147 3.795
14 6.96 3.805
15 6.035 3.514
16 3.687 2.446
17 6.814 2.309
18 7.283 1.869
19 3.547 1.288
20 3.915 1.13
21 5.166 0.853
22 3.556 0.546
23 2.228 0.396
24 3.252 0.202
25 2.909 0.115
26 1.407 0.067
27 1.634 0.043
28 1.815 0.037
29 0.953 0.036
30 0.621 0.022
31 0.779 0.005
32 0.402 0.001
33 0.076 0.0
34 0.008 0.0
